sample_name	sample_accession
15425.MT6M9269	ERS17988631
15425.MT6H9270	ERS17988629
15425.MT6DHTH9271	ERS17988627
15425.M6DHTC9272	ERS17988587
15425.F1T09273	ERS17988467
15425.FT1C9274	ERS17988509
15425.F1TL9275	ERS17988473
15425.F1TF9276	ERS17988469
15425.F1TH9277	ERS17988471
15425.FT1DHTH9278	ERS17988511
15425.F1DHTC9279	ERS17988465
15425.F2T09280	ERS17988477
15425.FT2C9281	ERS17988513
15425.F2TFL9282	ERS17988481
15425.F2TF9283	ERS17988479
15425.F2TH9284	ERS17988483
15425.FT2DHTH9285	ERS17988515
15425.F2DHTC9286	ERS17988475
15425.F3T09287	ERS17988490
15425.FT3C9288	ERS17988517
15425.F3TL9289	ERS17988496
15425.F3TF9290	ERS17988492
15425.F3TH9291	ERS17988494
15425.F31DHTH9292	ERS17988485
15425.F3DHTC9293	ERS17988488
15425.F4T09294	ERS17988498
15425.FT4C9295	ERS17988518
15425.FT4L9296	ERS17988522
15425.FT4F9297	ERS17988520
15425.FT4H9298	ERS17988521
15425.FT4DHTH9299	ERS17988519
15425.F4DHTC9300	ERS17988497
15425.F5T09301	ERS17988502
15425.FT5C9302	ERS17988524
15425.FT5L9303	ERS17988533
15425.FT5F9304	ERS17988529
15425.FT5H9305	ERS17988531
15425.FT5DHTH9306	ERS17988527
15425.F5DHTC9307	ERS17988500
15425.F6T09308	ERS17988507
15425.FT6C9309	ERS17988537
15425.FT69310	ERS17988535
15425.FT6F9311	ERS17988541
15425.FT6H9312	ERS17988543
15425.FT6DHTH9313	ERS17988539
15425.F6DHTC9314	ERS17988504
